run_id,model,domain,task_type,difficulty,n,n_samples,n_needs_review,n_excluded_from_main,n_samples_unscored,n_items_unscored,mean_score,mean_score_incl_review,small_cell,ci_method,ci_low,ci_high,t2_judgment_accuracy,t2_verdict_ci_low,t2_verdict_ci_high,t4_pass_at_1,diagnostic_functional_threshold_rate,t4_performance_pass_rate,judge_mean_score_range,paper_eligible
midtier-20260828-v1,GLM-4-32B,D3,T2,Basic,3,3,0,0,0,0,0.5416666666666666,0.5416666666666666,True,"none (descriptive, n<5)",,,1.0,0.43850296824496815,1.0,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D3,T2,Expert,5,5,0,0,0,0,0.45,0.45,False,item-cluster bootstrap B=20000 seed=20260805,0.175,0.7,0.8,0.37553462976253477,0.9637758913675682,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D3,T2,Intermediate,7,7,0,0,0,0,0.35714285714285715,0.35714285714285715,False,item-cluster bootstrap B=20000 seed=20260805,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.3589344518326274,0.9177810759959406,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D3,T3,Expert,8,8,0,0,0,0,0.4375,0.4375,False,item-cluster bootstrap B=20000 seed=20260805,0.2833333333333333,0.6125,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D3,T3,Intermediate,6,6,0,0,0,0,0.5777777777777777,0.5777777777777777,False,item-cluster bootstrap B=20000 seed=20260805,0.46666666666666673,0.6666666666666666,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D3,T4,Basic,3,3,0,0,0,0,1.0,1.0,True,wilson,0.43850296824496815,1.0,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,GLM-4-32B,D3,T4,Expert,1,1,0,0,0,0,0.0,0.0,True,none (n<2),,,,,,0.0,0.0,1.0,,True
midtier-20260828-v1,GLM-4-32B,D3,T4,Intermediate,3,3,0,0,0,0,0.6666666666666666,0.6666666666666666,True,wilson,0.2076596008020547,0.9385080552796013,,,,0.6666666666666666,0.6666666666666666,1.0,,True
midtier-20260828-v1,GLM-4-32B,D4,T1,Basic,9,9,0,0,0,0,1.0,1.0,False,wilson,0.7008549515804674,1.0,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D4,T1,Expert,6,6,0,0,0,0,1.0,1.0,False,wilson,0.6096657120978477,1.0,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D4,T1,Intermediate,18,18,0,0,0,0,0.9444444444444444,0.9444444444444444,False,wilson,0.7424269921812814,0.9901248090216965,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D4,T2,Basic,3,3,0,0,0,0,0.375,0.375,True,"none (descriptive, n<5)",,,1.0,0.43850296824496815,1.0,,,,0.0,True
